name,email,phone,experience,skills,keyword_count,found_keywords,is_relevant,file_name
Sarah Collins,collins.sarah@yahoo.com,087 087 7345,"Higher Certificate in Information Technology, Dublin Institute of Technology (Currently studying)","• problem-solving
• customer service
• teamwork
• food preparation
• health and safety
• stock rotation
• communication
• order taking
• first aid
• HACCP
• Fluent English
• Sales
• Google Workspace
• Team Leadership
REFERENCES
References available upon request",6,"cook, fast food, customer service, restaurant, kitchen, food preparation",True,Irish_CV_015.pdf
Emily Fitzgerald,emilyfitzgerald@outlook.com,089 157 9965,"Master of Arts in Culinary Arts, Trinity College Dublin (2015)
Higher Diploma in English, Galway-Mayo Institute of Technology (2022)","Master of Arts in Culinary Arts, Trinity College Dublin (2015)
Higher Diploma in English, Galway-Mayo Institute of Technology (2022)",1,team member,False,Irish_CV_039.pdf
Tadhg O'Sullivan,sullivan@yahoo.com,087 067 1761,"Bachelor of Commerce in Languages, Limerick Institute of Technology (2018)","Bachelor of Commerce in Languages, Limerick Institute of Technology (2018)",1,cook,False,Irish_CV_011.pdf
Darragh Brennan,darragh.brennan@outlook.com,087 799 0857,"Bachelor of Engineering in Marketing, Dublin Business School (2021)","Bachelor of Engineering in Marketing, Dublin Business School (2021)",4,"customer service, team member, food preparation, drive-thru",True,Irish_CV_005.pdf
Declan Healy,declanh@eircom.net,087 944 0737,"PhD in Psychology, Dundalk Institute of Technology (2021)","PhD in Psychology, Dundalk Institute of Technology (2021)",3,"cook, customer service, kitchen",True,Irish_CV_004.pdf
Amelia O'Connor,connor@gmail.com,085 213 8558,"Leaving Certificate in Computer Science, Technological University Dublin (2018)","Leaving Certificate in Computer Science, Technological University Dublin (2018)",2,"kitchen, team member",True,Irish_CV_010.pdf
Fionn O'Sullivan,fionno@icloud.com,087 158 4804,"Bachelor of Science in Business, University College Cork (2022)
Master of Science in Human Resources, Letterkenny Institute of Technology (Currently studying)","Bachelor of Science in Business, University College Cork (2022)
Master of Science in Human Resources, Letterkenny Institute of Technology (Currently studying)",3,"restaurant, kitchen, food preparation",True,Irish_CV_038.pdf
Sophie Ryan,sophier@eircom.net,087 753 9788,"Master of Science in Business, Letterkenny Institute of Technology (2019)","Master of Science in Business, Letterkenny Institute of Technology (2019)",7,"cook, fast food, customer service, kitchen, team member, food preparation, drive-thru",True,Irish_CV_006.pdf
Cillian O'Farrell,farrell@icloud.com,086 397 7249,"Bachelor of Commerce in English, National College of Ireland (2018)
Master of Business Administration in Culinary Arts, Limerick Institute of Technology (2020)","• first aid
• quality control
• baking
• time management
• teamwork
• Social Media
• Fluent English
REFERENCES
References available upon request",7,"fast food, customer service, kitchen, server, team member, shift manager, food preparation",True,Irish_CV_012.pdf
Seamus Burke,sburke@icloud.com,083 634 3352,"Higher Diploma in English, Institute of Technology Sligo (2020)","Higher Diploma in English, Institute of Technology Sligo (2020)",1,server,False,Irish_CV_013.pdf
Chloe Duffy,duffy.chloe@icloud.com,086 453 3775,"Honours Bachelor Degree in Communications, National University of Ireland, Galway (2017)
Master of Arts in Nutrition, Trinity College Dublin (2019)","Honours Bachelor Degree in Communications, National University of Ireland, Galway (2017)
Master of Arts in Nutrition, Trinity College Dublin (2019)",2,"cashier, kitchen",True,Irish_CV_007.pdf
